month_end,condition,demographics_type,demographics_values,rate_per_100000_visits
2024-12,Anxiety Disorders,RaceEthnicity,AI/AN,2567
2024-12,Anxiety Disorders,RaceEthnicity,All,2273
2024-12,Anxiety Disorders,RaceEthnicity,Asian,1362
2024-12,Anxiety Disorders,RaceEthnicity,Black,1440
2024-12,Anxiety Disorders,RaceEthnicity,Hispanic,1778
2024-12,Anxiety Disorders,RaceEthnicity,Multiple/Other,1508
2024-12,Anxiety Disorders,RaceEthnicity,NHOPI,1124
2024-12,Anxiety Disorders,RaceEthnicity,White,2868
2024-12,Anxiety Disorders,Sex,All,2273
2024-12,Anxiety Disorders,Sex,Female,2602
2024-12,Anxiety Disorders,Sex,Male,1868
2024-12,Anxiety Disorders,Total,All,2273
2024-11,Anxiety Disorders,Age,12-17 years,2066
2024-11,Anxiety Disorders,Age,18-34 years,2840
2024-11,Anxiety Disorders,Age,35-64 years,3003
2024-11,Anxiety Disorders,Age,65+ years,2652
2024-11,Anxiety Disorders,Age,All,2458
2024-11,Anxiety Disorders,RaceEthnicity,AI/AN,2791
2024-11,Anxiety Disorders,RaceEthnicity,All,2458
2024-11,Anxiety Disorders,RaceEthnicity,Asian,1529
2024-11,Anxiety Disorders,RaceEthnicity,Black,1578
2024-11,Anxiety Disorders,RaceEthnicity,Hispanic,1943
2024-11,Anxiety Disorders,RaceEthnicity,Multiple/Other,1696
2024-11,Anxiety Disorders,RaceEthnicity,NHOPI,1259
2024-11,Anxiety Disorders,RaceEthnicity,White,3061
2024-11,Anxiety Disorders,Sex,All,2458
2024-11,Anxiety Disorders,Sex,Female,2831
2024-11,Anxiety Disorders,Sex,Male,1998
2024-11,Anxiety Disorders,Total,All,2458
2024-10,Anxiety Disorders,Age,12-17 years,2057
2024-10,Anxiety Disorders,Age,18-34 years,2905
2024-10,Anxiety Disorders,Age,35-64 years,2981
2024-10,Anxiety Disorders,Age,65+ years,2614
2024-10,Anxiety Disorders,Age,All,2483
2024-10,Anxiety Disorders,RaceEthnicity,AI/AN,2896
2024-10,Anxiety Disorders,RaceEthnicity,All,2483
2024-10,Anxiety Disorders,RaceEthnicity,Asian,1509
2024-10,Anxiety Disorders,RaceEthnicity,Black,1576
2024-10,Anxiety Disorders,RaceEthnicity,Hispanic,2027
2024-10,Anxiety Disorders,RaceEthnicity,Multiple/Other,1690
2024-10,Anxiety Disorders,RaceEthnicity,NHOPI,1381
2024-10,Anxiety Disorders,RaceEthnicity,White,3067
2024-10,Anxiety Disorders,Sex,All,2483
2024-10,Anxiety Disorders,Sex,Female,2878
2024-10,Anxiety Disorders,Sex,Male,2003
2024-10,Anxiety Disorders,Total,All,2483
2024-09,Anxiety Disorders,Age,12-17 years,2106
2024-09,Anxiety Disorders,Age,18-34 years,2898
2024-09,Anxiety Disorders,Age,35-64 years,2951
2024-09,Anxiety Disorders,Age,65+ years,2622
2024-09,Anxiety Disorders,Age,All,2492
2024-09,Anxiety Disorders,RaceEthnicity,AI/AN,2902
2024-09,Anxiety Disorders,RaceEthnicity,All,2492
2024-09,Anxiety Disorders,RaceEthnicity,Asian,1461
2024-09,Anxiety Disorders,RaceEthnicity,Black,1583
2024-09,Anxiety Disorders,RaceEthnicity,Hispanic,2064
2024-09,Anxiety Disorders,RaceEthnicity,Multiple/Other,1702
2024-09,Anxiety Disorders,RaceEthnicity,NHOPI,1386
2024-09,Anxiety Disorders,RaceEthnicity,White,3069
2024-09,Anxiety Disorders,Sex,All,2492
2024-09,Anxiety Disorders,Sex,Female,2896
2024-09,Anxiety Disorders,Sex,Male,2003
2024-09,Anxiety Disorders,Total,All,2492
2024-08,Anxiety Disorders,Age,12-17 years,2203
2024-08,Anxiety Disorders,Age,18-34 years,2913
2024-08,Anxiety Disorders,Age,35-64 years,2945
2024-08,Anxiety Disorders,Age,65+ years,2563
2024-08,Anxiety Disorders,Age,All,2522
2024-08,Anxiety Disorders,RaceEthnicity,AI/AN,2932
2024-08,Anxiety Disorders,RaceEthnicity,All,2522
2024-08,Anxiety Disorders,RaceEthnicity,Asian,1561
2024-08,Anxiety Disorders,RaceEthnicity,Black,1603
2024-08,Anxiety Disorders,RaceEthnicity,Hispanic,2130
2024-08,Anxiety Disorders,RaceEthnicity,Multiple/Other,1777
2024-08,Anxiety Disorders,RaceEthnicity,NHOPI,1655
2024-08,Anxiety Disorders,RaceEthnicity,White,3072
2024-08,Anxiety Disorders,Sex,All,2522
2024-08,Anxiety Disorders,Sex,Female,2928
2024-08,Anxiety Disorders,Sex,Male,2031
2024-08,Anxiety Disorders,Total,All,2522
2024-07,Anxiety Disorders,Age,12-17 years,2242
2024-07,Anxiety Disorders,Age,18-34 years,2900
2024-07,Anxiety Disorders,Age,35-64 years,2923
2024-07,Anxiety Disorders,Age,65+ years,2573
2024-07,Anxiety Disorders,Age,All,2534
2024-07,Anxiety Disorders,RaceEthnicity,AI/AN,2911
2024-07,Anxiety Disorders,RaceEthnicity,All,2534
2024-07,Anxiety Disorders,RaceEthnicity,Asian,1516
2024-07,Anxiety Disorders,RaceEthnicity,Black,1648
2024-07,Anxiety Disorders,RaceEthnicity,Hispanic,2144
2024-07,Anxiety Disorders,RaceEthnicity,Multiple/Other,1788
2024-07,Anxiety Disorders,RaceEthnicity,NHOPI,1449
2024-07,Anxiety Disorders,RaceEthnicity,White,3074
2024-07,Anxiety Disorders,Sex,All,2534
2024-07,Anxiety Disorders,Sex,Female,2929
2024-07,Anxiety Disorders,Sex,Male,2056
2024-07,Anxiety Disorders,Total,All,2534
2024-06,Anxiety Disorders,Age,12-17 years,2153
2024-06,Anxiety Disorders,Age,18-34 years,2849
2024-06,Anxiety Disorders,Age,35-64 years,2921
2024-06,Anxiety Disorders,Age,65+ years,2550
2024-06,Anxiety Disorders,Age,All,2485
2024-06,Anxiety Disorders,RaceEthnicity,AI/AN,2718
2024-06,Anxiety Disorders,RaceEthnicity,All,2485
2024-06,Anxiety Disorders,RaceEthnicity,Asian,1481
2024-06,Anxiety Disorders,RaceEthnicity,Black,1628
2024-06,Anxiety Disorders,RaceEthnicity,Hispanic,2078
2024-06,Anxiety Disorders,RaceEthnicity,Multiple/Other,1750
2024-06,Anxiety Disorders,RaceEthnicity,NHOPI,1402
2024-06,Anxiety Disorders,RaceEthnicity,White,3020
2024-06,Anxiety Disorders,Sex,All,2485
2024-06,Anxiety Disorders,Sex,Female,2887
2024-06,Anxiety Disorders,Sex,Male,2001
2024-06,Anxiety Disorders,Total,All,2485
2024-05,Anxiety Disorders,Age,12-17 years,2119
2024-05,Anxiety Disorders,Age,18-34 years,2822
2024-05,Anxiety Disorders,Age,35-64 years,2915
2024-05,Anxiety Disorders,Age,65+ years,2544
2024-05,Anxiety Disorders,Age,All,2425
2024-05,Anxiety Disorders,RaceEthnicity,AI/AN,2816
2024-05,Anxiety Disorders,RaceEthnicity,All,2425
2024-05,Anxiety Disorders,RaceEthnicity,Asian,1457
2024-05,Anxiety Disorders,RaceEthnicity,Black,1562
2024-05,Anxiety Disorders,RaceEthnicity,Hispanic,1963
2024-05,Anxiety Disorders,RaceEthnicity,Multiple/Other,1713
2024-05,Anxiety Disorders,RaceEthnicity,NHOPI,1264
2024-05,Anxiety Disorders,RaceEthnicity,White,2996
2024-05,Anxiety Disorders,Sex,All,2425
2024-05,Anxiety Disorders,Sex,Female,2819
2024-05,Anxiety Disorders,Sex,Male,1951
2024-05,Anxiety Disorders,Total,All,2425
2024-04,Anxiety Disorders,Age,12-17 years,2147
2024-04,Anxiety Disorders,Age,18-34 years,2841
2024-04,Anxiety Disorders,Age,35-64 years,2947
2024-04,Anxiety Disorders,Age,65+ years,2597
2024-04,Anxiety Disorders,Age,All,2448
2024-04,Anxiety Disorders,RaceEthnicity,AI/AN,2763
2024-04,Anxiety Disorders,RaceEthnicity,All,2448
2024-04,Anxiety Disorders,RaceEthnicity,Asian,1423
2024-04,Anxiety Disorders,RaceEthnicity,Black,1550
